,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL4282493,16.0,nM,COc1cc(C)c(C(=O)NS(=O)(=O)c2cccc3cccnc23)cc1-c1ccc(C#CCO)s1,7.795880017344075,492.08136374000003,7,2,3.7428200000000023,True
7,CHEMBL418052,490.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,6.309803919971486,384.1215887399999,11,5,-1.4370999999999983,True
15,CHEMBL4281417,1700.0,nM,O=C(O)c1cc(Oc2cccc(Br)c2)ccc1NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,5.769551078621726,491.96268385599996,6,2,4.648600000000003,True
16,CHEMBL269277,1700.0,nM,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.769551078621726,456.36034539599996,2,2,7.089500000000009,True
20,CHEMBL5192551,2100.0,nM,O=C1N/C(=N\c2nnc(-c3ccccc3Cl)s2)S/C1=C\c1cccc(F)c1,5.6777807052660805,415.99685884,6,1,4.8892000000000015,True
22,CHEMBL5199491,2300.0,nM,O=C1N/C(=N\c2nnc(-c3cccc(F)c3)s2)S/C1=C\c1cccc(F)c1,5.638272163982407,400.02640937999996,6,1,4.374900000000002,True
24,CHEMBL4279581,2600.0,nM,CN1c2ccc(Oc3cccc(Br)c3)cc2C(c2ccccc2C(=O)O)=CS1(=O)=O,5.585026652029182,484.99325571199995,4,1,5.108400000000004,True
26,CHEMBL4289289,4500.0,nM,O=C(O)c1cc(Oc2cccc(Br)c2)ccc1NS(=O)(=O)c1ccccc1,5.346787486224656,446.97760564799995,4,2,4.740400000000003,True
27,CHEMBL4284511,4700.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3ccc(Br)cc3)cc21)c1ccccc1,5.327902142064282,470.97760564800006,5,1,5.1521000000000035,True
30,CHEMBL4587069,5000.0,nM,O=C(NO)c1ncc(CS(=O)(=O)c2ccccc2)c(CO)c1O,5.301029995663981,338.0572571679999,7,4,0.37239999999999945,True
31,CHEMBL583412,5200.0,nM,O=C(O)c1ccccc1NS(=O)(=O)c1cccc(-c2cnn(Cc3ccccc3)c2)c1,5.2839966563652006,433.1096270880001,5,2,4.097400000000003,True
34,CHEMBL4281094,6900.0,nM,CCc1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,5.161150909262744,421.098393708,5,1,4.952000000000004,True
35,CHEMBL4280007,7000.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3cccc(Br)c3)cc21)c1ccccc1,5.154901959985743,470.97760564800006,5,1,5.1521000000000035,True
36,CHEMBL4295172,7000.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3cccc(F)c3)cc21)c1ccccc1,5.154901959985743,411.05767176800003,5,1,4.528700000000003,True
38,CHEMBL4291308,11400.0,nM,O=C1CS(=O)(=O)N(C(=O)c2ccccc2)c2ccc(Oc3ccccc3Br)cc21,4.943095148663527,470.97760564799995,5,0,4.4143000000000026,True
39,CHEMBL3233235,13600.0,nM,CN1c2c(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)nn(-c3ccc(Cl)cc3)c2-c2ccccc2S1(=O)=O,4.866461091629782,557.0594384200001,7,2,3.9550000000000027,True
40,CHEMBL3233241,14100.0,nM,Cc1ccc(-n2nc(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)c3c2-c2ccccc2S(=O)(=O)N3C)cc1,4.85078088734462,537.1140608359999,7,2,3.6100200000000022,True
41,CHEMBL1259059,14700.0,nM,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,4.832682665251824,529.1625443579999,10,3,1.6565000000000003,True
42,CHEMBL4277678,15800.0,nM,CC(C)(C)c1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,4.801342913045577,449.129693836,5,1,5.687100000000005,True
44,CHEMBL2326938,17300.0,nM,CN1c2c(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)nn(-c3cccc(F)c3)c2-c2ccccc2S1(=O)=O,4.761953896871205,541.0889889599999,7,2,3.4407000000000023,True
46,CHEMBL4291731,20300.0,nM,COc1cccc(Oc2ccc3c(c2)C(OC(=O)c2ccccc2)=CS(=O)(=O)N3)c1,4.692503962086787,423.07765826400004,6,1,4.398200000000004,True
48,CHEMBL4446745,26000.0,nM,O=C(O)Cc1cccc(OS(=O)(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)c1,4.585026652029182,539.0610201320001,7,3,4.652400000000004,True
49,CHEMBL4287909,30800.0,nM,O=C(OC1=CS(=O)(=O)Nc2ccc(Oc3ccccc3Br)cc21)c1ccccc1,4.511449283499556,470.97760564800006,5,1,5.1521000000000035,True
50,CHEMBL4277265,41500.0,nM,CCOC1=CS(=O)(=O)Nc2ccc(Oc3ccccc3Br)cc21,4.381951903287908,394.98269102800003,4,1,4.331600000000003,True
51,CHEMBL4280662,46200.0,nM,COC1=CS(=O)(=O)N(C(=O)c2ccccc2)c2ccc(Oc3ccccc3Br)cc21,4.335358024443875,484.99325571199995,5,0,5.176400000000004,True
52,CHEMBL3899268,91000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)c1,4.040958607678906,494.0871753039999,5,5,4.430600000000002,True
53,CHEMBL3941938,110000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)cc1,3.958607314841775,494.0871753039999,5,5,4.430600000000002,True
54,CHEMBL5182967,140000.0,nM,COc1ccc(CC(=O)O)cc1-c1cccs1,3.853871964321762,248.050715244,3,1,3.0508000000000015,True
55,CHEMBL4436568,144000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(CC(=O)O)cc2)c1,3.841637507904751,508.1028253679999,5,5,4.3595000000000015,True
56,CHEMBL4454666,145000.0,nM,O=C(Nc1ccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)cc1)Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-],3.8386319977650247,538.0770045439999,6,4,4.434300000000003,True
57,CHEMBL73188,150000.0,nM,CC(=O)N[C@@H](C(=O)O)C(C)(C)SN=O,3.823908740944319,220.051777864,5,2,0.7689,True
58,CHEMBL4465538,174000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)cc1,3.759450751717401,508.1028253679999,5,5,4.1083000000000025,True
59,CHEMBL4522025,181000.0,nM,O=C(O)Cc1ccc(NS(=O)(=O)c2cccc(NC(=O)Nc3ccc(C(F)(F)F)cc3[N+](=O)[O-])c2)cc1,3.742321425130816,538.0770045439999,6,4,4.685500000000002,True
60,CHEMBL5205786,210000.0,nM,COc1ccc(CC(=O)O)cc1-c1ccsc1,3.677780705266081,248.050715244,3,1,3.0508000000000015,True
61,CHEMBL4513879,276000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1ccc(S(=O)(=O)Oc2cccc(CC(=O)O)c2)cc1,3.5590909179347827,509.08684095599983,6,4,4.326400000000002,True
62,CHEMBL4522746,304000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCc2cccc(C(=O)O)c2)c1,3.517126416391246,508.1028253679999,5,5,4.108300000000002,True
63,CHEMBL4547767,342000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCCCC(=O)O)c1,3.4659738939438647,460.1028253679999,5,5,3.074700000000001,True
64,CHEMBL4437452,366000.0,nM,Nc1cc(C(F)(F)F)ccc1NC(=O)Nc1cccc(S(=O)(=O)NCc2ccc(C(=O)O)cc2)c1,3.436518914605589,508.1028253679999,5,5,4.108300000000002,True
